Date;Open;High;Low;Close;Adj Close;Volume
31.07.2023;51.750000;53.799999;51.750000;53.299999;53.299999;84657
02.08.2023;53.799999;55.099998;48.540001;49.000000;49.000000;170107
03.08.2023;48.799999;50.000000;47.040001;49.599998;49.599998;88224
04.08.2023;49.200001;50.599998;49.139999;50.250000;50.250000;45736
07.08.2023;49.580002;51.200001;49.400002;49.740002;49.740002;51378
08.08.2023;49.000000;50.400002;49.000000;49.779999;49.779999;32754
09.08.2023;49.880001;52.150002;49.000000;49.000000;49.000000;109255
10.08.2023;49.340000;50.799999;49.020000;49.459999;49.459999;70409
11.08.2023;49.400002;49.560001;47.700001;49.240002;49.240002;83626
14.08.2023;48.959999;51.400002;48.959999;51.000000;51.000000;93184
15.08.2023;50.799999;51.849998;50.400002;51.500000;51.500000;80237
16.08.2023;51.450001;51.750000;50.200001;50.349998;50.349998;98245
17.08.2023;49.400002;55.000000;47.980000;54.299999;54.299999;310541
18.08.2023;53.849998;61.700001;53.750000;60.250000;60.250000;497444
21.08.2023;62.049999;64.599998;60.950001;63.500000;63.500000;263928
22.08.2023;64.650002;68.150002;61.099998;62.799999;62.799999;224880
23.08.2023;62.950001;63.950001;62.200001;63.049999;63.049999;99206
24.08.2023;63.250000;65.750000;63.250000;65.000000;65.000000;158539
25.08.2023;65.849998;66.400002;64.699997;65.949997;65.949997;142655
28.08.2023;65.699997;66.849998;65.050003;65.050003;65.050003;109340
29.08.2023;65.000000;66.699997;64.849998;66.050003;66.050003;94238
30.08.2023;66.500000;67.199997;64.949997;66.449997;66.449997;134250
