Date;Open;High;Low;Close;Adj Close;Volume
15.08.2023;8.438000;8.515000;8.438000;8.498000;8.498000;22782
16.08.2023;8.572000;8.572000;8.461000;8.461000;8.461000;131126
17.08.2023;8.509000;8.509000;8.441000;8.473000;8.473000;48306
18.08.2023;8.477000;8.477000;8.401000;8.427000;8.427000;81149
21.08.2023;8.426000;8.453000;8.400000;8.400000;8.400000;117070
22.08.2023;8.409000;8.464000;8.368000;8.464000;8.464000;63854
23.08.2023;8.476000;8.476000;8.428000;8.456000;8.456000;22622
24.08.2023;8.463000;8.463000;8.401000;8.437000;8.437000;58169
25.08.2023;8.417000;8.440000;8.383000;8.417000;8.417000;88333
28.08.2023;8.397000;8.403000;8.345000;8.361000;8.361000;69011
29.08.2023;8.417000;8.417000;8.309000;8.334000;8.334000;361245
30.08.2023;8.306000;8.333000;8.258000;8.313000;8.313000;55386
31.08.2023;8.315000;8.317000;8.250000;8.255000;8.255000;108999
01.09.2023;8.255000;8.263000;8.206000;8.239000;8.239000;66088
04.09.2023;8.207000;8.299000;8.207000;8.262000;8.262000;62328
05.09.2023;8.343000;8.412000;8.275000;8.412000;8.412000;53377
06.09.2023;8.400000;8.491000;8.400000;8.413000;8.413000;41973
07.09.2023;8.488000;8.488000;8.381000;8.381000;8.381000;160606
08.09.2023;8.216000;8.249000;8.125000;8.212000;8.212000;148867
11.09.2023;8.200000;8.274000;8.200000;8.274000;8.274000;77637
12.09.2023;8.326000;8.326000;8.230000;8.260000;8.260000;143589
13.09.2023;8.240000;8.333000;8.240000;8.333000;8.333000;215677
14.09.2023;8.339000;8.339000;8.279000;8.299000;8.299000;52440
15.09.2023;8.295000;8.341000;8.267000;8.314000;8.314000;127318
