Date;Open;High;Low;Close;Adj Close;Volume
31.07.2023;2.440000;2.800000;2.340000;2.670000;2.670000;145803500
01.08.2023;3.225000;3.280000;2.950000;3.120000;3.120000;211836500
02.08.2023;3.090000;3.100000;2.800000;3.020000;3.020000;90820800
03.08.2023;2.970000;3.710000;2.860000;3.395000;3.395000;165311100
04.08.2023;2.990000;3.200000;2.500000;2.500000;2.500000;171333800
07.08.2023;2.740000;2.750000;2.070000;2.390000;2.390000;160603900
08.08.2023;2.215000;2.340000;2.100000;2.210000;2.210000;59698200
09.08.2023;2.180000;2.200000;1.900000;1.940000;1.940000;112559500
10.08.2023;1.980000;2.170000;1.900000;1.960000;1.960000;75986600
11.08.2023;1.920000;1.990000;1.800000;1.950000;1.950000;53826000
14.08.2023;1.600000;1.850000;1.565000;1.820000;1.820000;60282400
15.08.2023;1.900000;1.910000;1.780000;1.910000;1.910000;37068900
16.08.2023;1.830000;2.070000;1.800000;1.940000;1.940000;47012900
17.08.2023;1.980000;2.030000;1.870000;1.870000;1.870000;29981400
18.08.2023;1.740000;1.990000;1.710000;1.960000;1.960000;53279100
21.08.2023;1.690000;1.780000;1.470000;1.510000;1.510000;103379400
22.08.2023;1.480000;1.540000;1.340000;1.420000;1.420000;91518400
23.08.2023;1.430000;1.430000;1.310000;1.320000;1.320000;38855300
24.08.2023;1.300000;1.320000;1.180000;1.225000;1.225000;52639700
25.08.2023;1.230000;1.410000;1.220000;1.310000;1.310000;66985500
28.08.2023;1.350000;1.350000;1.170000;1.240000;1.240000;56717700
29.08.2023;1.230000;1.340000;1.200000;1.300000;1.300000;38865500
30.08.2023;1.280000;1.320000;1.210000;1.270000;1.270000;33740300
31.08.2023;1.280000;1.290000;1.150000;1.180000;1.180000;49732200
01.09.2023;1.180000;1.230000;1.150000;1.180000;1.180000;33136100
05.09.2023;1.080000;1.200000;1.060000;1.170000;1.170000;46649900
06.09.2023;1.160000;1.170000;1.100000;1.110000;1.110000;32666900
07.09.2023;1.060000;1.070000;1.010000;1.040000;1.040000;45745700
08.09.2023;1.030000;1.030000;0.880000;0.880000;0.880000;150320900
11.09.2023;0.920000;0.925000;0.814000;0.907000;0.907000;110906000
12.09.2023;0.889000;0.914000;0.826000;0.912000;0.912000;99803800
13.09.2023;0.910000;0.913000;0.850000;0.870000;0.870000;68874900
14.09.2023;0.871000;1.190000;0.855000;1.150000;1.150000;235670400
15.09.2023;1.330000;1.380000;1.150000;1.190000;1.190000;271454100
