Date;Open;High;Low;Close;Adj Close;Volume
31.07.2023;267.480011;269.079987;263.779999;267.429993;267.429993;84582200
01.08.2023;266.260010;266.470001;260.250000;261.070007;261.070007;83166000
02.08.2023;255.570007;259.519989;250.490005;254.110001;254.110001;101752900
03.08.2023;252.039993;260.489990;252.000000;259.320007;259.320007;97569100
04.08.2023;260.970001;264.769989;253.110001;253.860001;253.860001;99242600
07.08.2023;251.449997;253.649994;242.759995;251.449997;251.449997;111097900
08.08.2023;247.449997;250.919998;245.009995;249.699997;249.699997;96642200
09.08.2023;250.869995;251.100006;241.899994;242.190002;242.190002;101596300
10.08.2023;245.399994;251.800003;243.000000;245.339996;245.339996;109498600
11.08.2023;241.770004;243.789993;238.020004;242.649994;242.649994;98866600
14.08.2023;235.699997;240.660004;233.750000;239.759995;239.759995;98595300
15.08.2023;238.729996;240.500000;232.610001;232.960007;232.960007;88197600
16.08.2023;228.020004;233.970001;225.380005;225.600006;225.600006;112484500
17.08.2023;226.059998;226.740005;218.830002;219.220001;219.220001;120718400
18.08.2023;214.119995;217.580002;212.360001;215.490005;215.490005;135813700
21.08.2023;221.550003;232.130005;220.580002;231.279999;231.279999;135702700
22.08.2023;240.250000;240.820007;229.550003;233.190002;233.190002;130597900
23.08.2023;229.339996;238.979996;229.289993;236.860001;236.860001;101077600
24.08.2023;238.660004;238.919998;228.179993;230.039993;230.039993;99777400
25.08.2023;231.309998;239.000000;230.350006;238.589996;238.589996;106612200
28.08.2023;242.580002;244.380005;235.350006;238.820007;238.820007;107673700
29.08.2023;238.580002;257.480011;237.770004;257.179993;257.179993;134047600
30.08.2023;254.199997;260.510010;250.589996;256.899994;256.899994;121988400
31.08.2023;255.979996;261.179993;255.050003;258.079987;258.079987;108861700
01.09.2023;257.260010;259.079987;242.009995;245.009995;245.009995;132272500
05.09.2023;245.000000;258.000000;244.860001;256.489990;256.489990;129469600
06.09.2023;255.139999;255.389999;245.059998;251.919998;251.919998;116959800
07.09.2023;245.070007;252.809998;243.270004;251.490005;251.490005;115312900
08.09.2023;251.220001;256.519989;246.669998;248.500000;248.500000;118367700
11.09.2023;264.269989;274.850006;260.609985;273.579987;273.579987;174667900
12.09.2023;270.760010;278.390015;266.600006;267.480011;267.480011;135999900
13.09.2023;270.070007;274.980011;268.100006;271.299988;271.299988;111673700
14.09.2023;271.320007;276.709991;270.420013;276.040009;276.040009;107709800
